Wall time,Step,Value
1731869005.0529876,75,-6.956607341766357
1731869007.7694793,76,-7.202692031860352
1731869011.1198242,77,-6.335512638092041
1731869011.5566204,78,-4.551738739013672
1731869011.9752967,79,-3.8399858474731445
1731869012.3935657,80,-4.841470718383789
1731869012.8073494,81,-5.395211219787598
1731869013.2689888,82,-5.83377742767334
1731869013.732711,83,-6.079835414886475
1731869014.152402,84,-6.362122058868408
1731869014.5693128,85,-6.553221702575684
1731869014.9805462,86,-6.698514938354492
1731869015.398626,87,-6.89324951171875
1731869015.810852,88,-6.965986728668213
1731869016.2342541,89,-7.122610092163086
1731869016.6492288,90,-7.309826374053955
1731869017.1429875,91,-7.442105770111084
1731869019.5641618,92,-7.561949253082275
1731869024.3983347,93,-7.7173566818237305
1731869029.4371252,94,-7.853478908538818
1731869032.6704938,95,-8.023297309875488
1731869035.9228034,96,-8.098492622375488
1731869038.7203035,97,-8.198017120361328
1731869039.2427437,98,-8.294422149658203
1731869039.7928944,99,-8.370651245117188
1731869040.389393,100,-8.425329208374023
1731869040.93108,101,-8.488938331604004
1731869041.4529884,102,-8.618020057678223
1731869041.8914096,103,-8.770845413208008
1731869042.4084878,104,-8.818197250366211
1731869042.9230938,105,-8.902091026306152
1731869043.3750157,106,-9.093490600585938
1731869043.89569,107,-8.99091625213623
1731869044.4489508,108,-9.084012031555176
1731869044.9797428,109,-9.183907508850098
1731869045.4722884,110,-9.342339515686035
1731869046.0105221,111,-9.404682159423828
1731869046.5296507,112,-9.42003059387207
1731869046.9693935,113,-9.597633361816406
1731869047.5360205,114,-9.671712875366211
1731869048.4285762,115,-9.654733657836914
1731869048.8807156,116,-9.799883842468262
1731869049.3345194,117,-9.8844575881958
1731869049.844247,118,-9.85573959350586
1731869052.984188,119,-9.913634300231934
1731869055.3931782,120,-10.050209999084473
1731869055.9065492,121,-10.167210578918457
1731869058.379553,122,-10.232269287109375
1731869058.8633137,123,-10.261693000793457
1731869059.3127463,124,-10.386451721191406
1731869061.964142,125,-10.33116626739502
1731869064.7627156,126,-10.492989540100098
1731869065.2434645,127,-10.391172409057617
1731869068.4946146,128,-10.587663650512695
1731869068.9962046,129,-10.658454895019531
